LATITUDE,LONGITUDE
41.88029609,-87.7524942
42.00475007,-87.69942278
41.86452119,-87.6393041
41.79799187,-87.72344374
41.94156586,-87.6688604
41.9977473,-87.69525116
41.89104929,-87.75973284
41.96844525,-87.71941658
41.71240379,-87.60512759
41.92629696,-87.78569482
41.80942389,-87.6209518
41.80096928,-87.6887221
41.86888971,-87.63909893
41.99058521,-87.69353452
41.91057467,-87.66223523
41.90950515,-87.74695994
41.71349784,-87.55073311
41.68033221,-87.66258468
41.99799346,-87.66842789
41.90258387,-87.72361925
41.75967458,-87.64442024
41.89810682,-87.69937838
41.96076752,-87.73394693
41.95355444,-87.74505531
42.00885647,-87.67408037
41.97221356,-87.6596091
41.84438799,-87.7064971
41.98563842,-87.65509432
41.92059646,-87.77519268
41.9263717,-87.64080008
41.96904667,-87.65467406
41.96762916,-87.70830369
41.88181563,-87.64721472
41.85128849,-87.72385084
41.72386029,-87.60436472
41.77295752,-87.6099734
41.9030542,-87.69477042
41.7631812,-87.64421502
41.79601962,-87.75968337
41.96775366,-87.68817172
41.68496064,-87.64302231
41.79782259,-87.66453688
41.93146094,-87.74371731
41.93930952,-87.71853994
41.8542653,-87.63218951
41.90285923,-87.69188858
41.77868472,-87.71425166
41.73691535,-87.59365662
41.928695,-87.67419508
41.82838364,-87.69462017
41.9579834,-87.70799592
41.72624035,-87.57429226
41.93756465,-87.78605437
41.93876197,-87.76040707
41.83893675,-87.71723055
41.69631368,-87.59663224
41.96848537,-87.71587133
41.6849558,-87.65972583
41.76471714,-87.68875098
41.73679546,-87.58627251
41.7945591,-87.64531343
41.89340802,-87.62643774
41.92259747,-87.69709763
41.76457363,-87.62473997
41.75499092,-87.66340416
41.84427912,-87.71455377
41.70366236,-87.52571243
41.93154075,-87.73757251
41.96857277,-87.7077877
41.98356392,-87.65714629
41.99758912,-87.69183691
41.98197138,-87.66832103
41.95301023,-87.78770716
41.9312882,-87.77324145
41.677986,-87.63620086
41.88340212,-87.65572529
42.00799492,-87.66717415
41.70647332,-87.66935499
41.99760128,-87.70361267
41.99462096,-87.69968686
41.86672435,-87.62596115
41.87186361,-87.72905737
41.8326245,-87.6168411
41.75200539,-87.55401542
41.92764768,-87.76626652
42.01939474,-87.6860205
41.69515316,-87.62782024
41.93859128,-87.8069148
41.78703907,-87.63781273
41.80157684,-87.65378847
41.92189423,-87.78339752
41.75097268,-87.61695788
41.97562411,-87.72984456
41.79358918,-87.70594578
41.94525416,-87.67238979
41.90811537,-87.66776383
41.68105956,-87.53936754
41.99049477,-87.74847741
41.79612897,-87.6514349
41.77841597,-87.73405757
41.91004942,-87.72145808
41.87716213,-87.64736429
41.7222632,-87.58291763
41.96843458,-87.72048101
41.9655577,-87.65355928
41.83646835,-87.6655669
41.75032239,-87.64418241
41.79381183,-87.6931506
41.99598529,-87.78763712
41.92948927,-87.68368782
41.98354479,-87.65826767
41.9660114,-87.83683117
41.85202569,-87.67841224
41.94868367,-87.64364976
41.69981485,-87.53542689
41.93140629,-87.74793697
41.8714442,-87.62607513
41.92447264,-87.73678951
41.80977273,-87.59496089
41.69231963,-87.65466321
41.86625418,-87.66652414
41.88582299,-87.73578781
41.75032112,-87.65818905
41.94800455,-87.66418623
41.72132699,-87.66253366
41.70341522,-87.62080968
41.78015196,-87.60577752
41.93581593,-87.7466187
41.92703609,-87.75610618
41.92462832,-87.72395332
41.9731613,-87.65783318
41.81393768,-87.68692201
41.78306114,-87.68359887
41.90910776,-87.72663415
41.95859672,-87.70830958
41.9754754,-87.65969701
41.99759202,-87.69166812
41.7689263,-87.644656
42.02008732,-87.67323456
41.94238351,-87.72901086
41.8521512,-87.6700746
41.96697757,-87.65494464
41.69954741,-87.64275192
41.88004498,-87.77049338
41.88633942,-87.62083615
41.83694724,-87.72814236
41.99823739,-87.6661711
41.75878729,-87.57599348
42.00358497,-87.67235193
41.85421937,-87.66845816
41.75274564,-87.58752349
41.9427472,-87.68835432
41.70035527,-87.7205409
41.9611941,-87.68996697
41.9197749,-87.77072653
41.90302614,-87.63134877
41.9062437,-87.66986228
41.90939879,-87.6530507
41.95201856,-87.83316684
41.79141057,-87.58953263
41.91011794,-87.63149089
41.65296461,-87.54729865
41.83674996,-87.72613266
41.93164142,-87.74671991
41.90263376,-87.71793124
41.91442371,-87.65462784
41.79529732,-87.58782256
41.9561262,-87.72248283
41.99849297,-87.78909537
41.93197047,-87.69993162
41.79619759,-87.72339188
41.96779309,-87.7086027
41.91576102,-87.69729581
41.80462115,-87.71990707
41.92059646,-87.77519268
41.91706775,-87.75604133
42.00594482,-87.66117475
41.7958708,-87.64534412
41.76469612,-87.67359278
41.73590841,-87.64742288
41.89168984,-87.62044413
41.80847124,-87.66745451
41.85210065,-87.68905111
41.90198255,-87.6292631
41.87542375,-87.70582036
41.7514187,-87.58220582
41.85531767,-87.62372652
41.73575698,-87.65782823
41.99822825,-87.66710447
41.72294122,-87.66286287
41.89086429,-87.63632919
41.89777928,-87.67695887
42.00439926,-87.81848576
41.85984596,-87.70533855
41.75829332,-87.61535411
41.65176106,-87.60936661
41.79925704,-87.70357471
41.76302237,-87.58639016
41.93899382,-87.74269899
41.80966853,-87.6751157
41.89103355,-87.75530965
41.73558907,-87.66995173
41.86731565,-87.76559794
41.85665718,-87.63875335
41.77842134,-87.70297606
41.99118175,-87.66015508
42.00272611,-87.66093837
41.77849291,-87.72732752
41.99790097,-87.68637822
41.93547203,-87.66865454
41.96111443,-87.70258694
41.94318737,-87.68830202
41.81391431,-87.72366494
41.71891216,-87.5511743
41.8988782,-87.62811115
41.96001995,-87.64690603
41.88058389,-87.74705294
41.78032161,-87.61713538
41.80287978,-87.58184369
41.99446571,-87.65839281
42.0119758,-87.67438406
41.84242453,-87.71703032
41.99766696,-87.68721346
41.79638049,-87.75734757
41.91358779,-87.68220284
41.91009267,-87.71757535
41.85745275,-87.66168833
41.96378896,-87.65660649
41.85198384,-87.6857857
41.93898597,-87.80692906
41.87235004,-87.70327264
41.84093316,-87.70722418
41.96865614,-87.67843848
41.80344571,-87.70398627
41.93274396,-87.64221885
41.77946116,-87.67143667
41.91618612,-87.67013494
41.91735855,-87.69934107
41.80746088,-87.74706057
41.92834525,-87.7186709
41.96152382,-87.66603986
41.88065941,-87.72219367
41.9237604,-87.78874776
41.81000148,-87.69318135
41.7561627,-87.6528196
42.01926518,-87.67157207
41.69723821,-87.6814748
41.85883397,-87.71786719
41.7995768,-87.59551292
41.70721814,-87.62775156
41.93215768,-87.7664246
41.89531476,-87.72019984
41.95318259,-87.77525938
41.74473084,-87.55403914
41.76489418,-87.6573078
41.74278773,-87.65338425
41.75899276,-87.56037781
41.73714625,-87.57708099
42.01418398,-87.69037835
41.97648167,-87.65483978
41.80876829,-87.66098821
41.75603509,-87.68285832
41.94482827,-87.64589349
41.77894012,-87.71186857
41.98218988,-87.66865163
41.82486062,-87.67002302
41.88558042,-87.65895691
41.90992525,-87.73155722
41.77961467,-87.66407749
41.80112781,-87.67408034
41.86611949,-87.72092757
41.76579077,-87.66396689
41.9580048,-87.64965374
41.83304474,-87.61461136
41.81757931,-87.69832059
41.80876546,-87.66117011
41.6840632,-87.61874297
41.92406442,-87.76766049
41.96679711,-87.76729948
41.7644956,-87.68338427
41.67097177,-87.64153305
41.70713532,-87.61824173
41.90216644,-87.75318235
41.94638465,-87.64652486
41.78942986,-87.61784034
41.73029727,-87.64330909
41.92427271,-87.75211504
41.91693444,-87.73638715
41.90505945,-87.72395138
41.8440328,-87.73243286
41.92379935,-87.77063324
41.88319447,-87.68046649
41.96995754,-87.70837288
41.79623488,-87.63040492
41.81915944,-87.66423536
41.93204685,-87.68897869
41.8313499,-87.67584785
41.96825564,-87.71687738
42.01928855,-87.67505851
41.81702977,-87.60685792
41.9343144,-87.715772
41.89496867,-87.62939918
41.89121012,-87.65556024
41.95910043,-87.68239224
41.9727915,-87.77637186
41.84468733,-87.70210294
41.96867023,-87.69516275
41.99794589,-87.68356871
41.99757381,-87.6925486
41.88629367,-87.64264392
41.91889126,-87.72646532
41.75098379,-87.62896145
41.89894854,-87.62397499
41.92449009,-87.71728813
41.7028061,-87.52770401
41.87453731,-87.7255969
41.84702046,-87.68319955
41.76599,-87.57378734
41.87087764,-87.69616688
41.73614513,-87.62691784
41.80804727,-87.70411882
41.917,-87.73098926
